Sample,Site,depth.cm,d13C.measured,d18O.measured,D47.measured,D47.se,d18Osw,notes
1,DL01,20,-1.2,-1,0.584,0.011,4,
2,DL01,40,-4.1,-1.4,0.63,0.019,0.5,
3,DL01,70,-5.2,-2.5,0.616,0.013,0.3,
4,DL01,100,-5.2,-3,0.59,0.013,1.6,
5,D2,20,-3.2,-1.1,0.654,0.013,0.9,
6,D2,50,-5.9,-1.2,0.686,0.021,-0.5,
7,D2,80,-4.6,-3.8,0.686,0.037,-3.3,
8,D2,100,-4.9,-3.0,0.64,0.01,-0.5,
9,RM333-11,60,-5.3,-11.4,0.663,0.013,-9.9,
10,MODS 0703,50,-5.8,-7.7,0.683,0.02,-7,
11,C,10,-2.3,-3.7,0.673,0.01,-2.5,
12,C,35,-3.9,-8.3,0.652,0.013,-6.1,
13,C,47,-4.9,-9.5,0.647,0.013,-7.1,
14,C,50,-5.5,-9.7,0.688,0.013,-9.2,
15,C,85,-5.7,-10.9,0.664,0.013,-9.3,
16,C,100,-6.8,-11.0,0.672,0.013,-9.8,
17,RM1695-11,60,-4.2,-11.7,0.671,0.012,-10.6,
18,RM1947-11,60,-6.3,-12.4,0.663,0.015,-10.8,
19,MODS 0705,50,-2.8,-7.3,0.683,0.033,-6.6,
20,MODS 0706,50,-3.7,-14.4,0.64,0.007,-11.7,
21,A,10,-0.9,-11.3,0.662,0.013,-9.8,
22,A,20,3.1,-13.42,0.644,0.022,-11.1,
23,A,30,-4.2,-15.1,0.672,0.013,-14,
24,A,50,-4.6,-15.9,0.659,0.009,-14.2,
25,A,75,-4.6,-16.0,0.664,0.036,-14.4,
26,A,75,-5.7,-16.1,0.651,0.01,-13.9,
27,A,90,-5.0,-15.5,0.659,0.021,-13.8,
28,A,90,-4.4,-15.6,0.661,0.021,-13.9,
29,A,100,-5.4,-15.4,0.653,0.009,-13.5,
30,MODS 0707,50,-5.6,-15.4,0.662,0.015,-13.9,
31,MODS 0710,50,1.3,-16.1,0.66,0.007,-14.3,
32,B,15,-2.1,-10.7,0.684,0.01,-10,
33,B,30,-5.4,-11.8,0.675,0.021,-10.7,
34,B,45,-4.7,-12.8,0.711,0.009,-13.4,
35,B,65,-2.6,-11.9,0.702,0.013,-12,
36,B,80,-5.8,-14.1,0.667,0.018,-12.6,
37,B,100,-6.9,-14.7,0.687,0.013,-14.2,
38,MODS0708,50,-6.9,-15.6,0.688,0.03,-15.1,
39,The Netherlands,,-10.3,-4.9,,,,"Southern Netherlands, lat/lon approx"
40,Alaska,,1.1,-13.5,,,,"sandstone cements, estimated MAT -7"
41,Wyoming,,-6.9,-11.3,,,,pebble coatings in alluvium
42,Elq13-400,70,-7.5,-3.21,0.687,0.01,-0.55,
43,Elq13-400,95,-8.57,-3.39,0.696,0.007,-1.44,
44,Elq13-600,50,-5.91,-7.56,0.668,0.007,-3.82,
45,Elq13-850,50,-3.04,-6.37,0.687,0.006,-3.78,
46,Elq13-1300,60,-3.57,-9.77,0.687,0.006,-7.26,
47,Elq13-1300,80,-2.78,-10.46,0.677,0.007,-7.21,
48,Elq13-1300,100,-3.26,-10.63,0.665,0.007,-6.68,
49,Elq13-1500,50,-0.27,-9.68,0.671,0.006,-6.16,
50,Elq13-1700,50,-3.31,-11.72,0.680,0.007,-8.83,
51,Elq13-1924,60,-0.57,-10.24,0.674,0.007,-6.96,
52,Elq13-1924,80,-1.57,-10.63,0.659,0.007,-6.38,
53,Elq13-1924,100,-2.25,-11.07,0.659,0.007,-6.74,
54,Elq13-2100,50,0.24,-11.49,0.671,0.009,-7.88,
55,Elq13-2300,50,0.24,-13.42,0.687,0.009,-10.83,
56,Muroc,21,-5.6,-9.3,0.736,0.013,-10.3,
57,Lavic,25,-3.4,-10.4,0.726,0.012,-10.6,
58,Lipetsk,130,-10.1,-8.9,,,,
59,Lipetsk,150,-9.9,-9.1,,,,
60,Lipetsk,175,-9.6,-9.4,,,,
61,Lipetsk,175,-9.8,-9.4,,,,
62,Lipetsk,135,-8.9,-8.4,,,,
63,Lipetsk,155,-9.4,-8.3,,,,
64,Lipetsk,155,-9.8,-8.7,,,,
65,Lipetsk,155,-9.4,-8.9,,,,
66,Kursk,180,-12.5,-9.0,,,,
67,Kursk,180,-9.7,-8.8,,,,
68,Kursk,130,-5.2,-9.6,,,,
69,Kursk,155,-9.4,-8.9,,,,
70,Voronezh,120,-9.2,-10.2,,,,
71,Voronezh,120,-9.2,-10.2,,,,
72,Voronezh,190,-7.8,-10.3,,,,
73,Voronezh,150,-8.4,-10.3,,,,
74,Voronezh,190,-7.4,-9.8,,,,
75,Voronezh,145,-8.9,-9.7,,,,
76,Voronezh,145,-7.8,-9.9,,,,
77,Voronezh,150,-9.0,-9.7,,,,
78,Voronezh,170,-8.8,-9.8,,,,
79,Voronezh,160,-8.9,-9.9,,,,
80,Voronezh,160,-7.9,-10.5,,,,
81,Voronezh,160,-8.5,-10.0,,,,
82,Voronezh,160,-9.1,-9.7,,,,
83,Voronezh,130,-9.0,-9.0,,,,
84,Voronezh,130,-8.6,-9.7,,,,
85,Voronezh,130,-9.3,-9.9,,,,
86,Voronezh,130,-9.1,-8.7,,,,
87,Voronezh,75,-7.7,-7.4,,,,
88,Voronezh,75,-7.4,-7.3,,,,
89,Voronezh,40,-10.0,-9.4,,,,
90,Voronezh,50,-9.5,-9.2,,,,
91,Voronezh,70.0,-9.1,-9.2,,,,
92,Voronezh,35.0,-9.2,-8.1,,,,
93,Voronezh,35.0,-10.7,-8.9,,,,
94,Voronezh,60.0,-11.0,-8.8,,,,
95,Voronezh,145.0,-9.4,-9.4,,,,
96,Voronezh,145.0,-7.1,-10.8,,,,
97,Voronezh,130.0,-9.2,-10.6,,,,
98,Samara,25.0,-9.1,-8.1,,,,
99,Samara,90,-9.3,-6.4,,,,
100,Samara,110.0,-8.7,-7.5,,,,
101,Samara,120.0,-9.5,-9,,,,
102,Samara,120.0,-8.6,-6.9,,,,
103,Samara,110.0,-9.0,-7.6,,,,
104,Samara,70.0,-8.9,-6.8,,,,
105,Samara,135.0,-8.6,-7.5,,,,
106,Samara,100.0,-8.6,-6.9,,,,
107,Samara,90.0,-8.5,-6.9,,,,
108,Samara,150.0,-8.8,-9.4,,,,
109,Samara,150.0,-7.9,-7.5,,,,15k 14C age
110,Samara,120.0,-8.6,-6.7,,,,
111,Samara,190.0,-7.2,-7.8,,,,
112,Samara,105.0,-8.9,-7.6,,,,
113,Rostov,95.0,-8.9,-7.8,,,,
114,Rostov,100.0,-9.0,-7.7,,,,
115,Rostov,95.0,-10.3,-8.4,,,,
116,Rostov,110.0,-9.6,-7.6,,,,
117,Rostov,110.0,-9.3,-7.9,,,,
118,Rostov,115.0,-9.3,-7.7,,,,
119,Rostov,110.0,-8.6,-8.2,,,,
120,Rostov,160.0,-8.7,-8.6,,,,
121,Rostov,85.0,-9.2,-8.2,,,,
122,Stavropol,75.0,-10.5,-7.4,,,,
123,Stavropol,35.0,-11.4,-5.6,,,,
124,Stavropol,35.0,-11.3,-7.3,,,,
125,Stavropol,75.0,-11.5,-7.6,,,,
126,Stavropol,30.0,-11.7,-7.6,,,,
127,Stavropol,60.0,-10.9,-7.2,,,,
128,Stavropol,20.0,-11.5,-7.6,,,,
129,Stavropol,55.0,-11.8,-8,,,,
130,Stavropol,55.0,-11.5,-7.9,,,,
131,Stavropol,70.0,-11.3,-8.3,,,,
132,Stavropol,70.0,-11.5,-7.8,,,,
133,Stavropol,65.0,-10.7,-8,,,,
134,Stavropol,65.0,-10.8,-8.1,,,,
135,Stavropol,180.0,-10.4,-7.7,,,,
136,Stavropol,115.0,-10.5,-7.9,,,,
137,Stavropol,40.0,-10.7,-8.2,,,,
138,Stavropol,100.0,-10.5,-8,,,,
139,Stavropol,60.0,-12.6,-9.1,,,,
140,Stavropol,110.0,-12.3,-9,,,,
141,Stavropol,110.0,-12.6,-9,,,,
142,Stavropol,120.0,-12.5,-9.1,,,,
143,Stavropol,105.0,-12.2,-9.3,,,,
144,Stavropol,105.0,-12.3,-9.9,,,,
145,Stavropol,105.0,-12.6,-9.4,,,,
146,Stavropol,135.0,-12.2,-9.4,,,,
147,Stavropol,135.0,-12.5,-9.2,,,,
148,Stavropol,135.0,-12.6,-9.2,,,,
149,Stavropol,130.0,-9.4,-8.8,,,,
150,Stavropol,130.0,-8.8,-9.4,,,,
151,GM-1,,-8.3,-11,,,,
152,GM-1,,-6.9,-11.6,,,,
153,GM-1,,-6.5,-10.4,,,,
154,GM-1,,-7.2,-11,,,,
155,GM-2,,-6.3,-9.4,,,,
156,GM-2,,-5.8,-8.8,,,,
157,GM-2,,-5.5,-9.7,,,,
158,GM-3,,-2,-6.7,,,,
159,GM-3,,-0.9,-7.1,,,,
160,GM-3,,-1.8,-7,,,,
161,GM-4,,-2.4,-6.8,,,,
162,GM-4,,-1.3,-7.5,,,,
163,GM-5,,1.5,-1.7,,,,
164,GM-5,,1.3,-5.8,,,,
165,GM-5,,0.5,-3.1,,,,
166,PaM-1,,-1.7,-0.4,,,,
167,PaM-1,,-0.4,-3.5,,,,
168,PaM-1,,0.9,-6.2,,,,
169,PaM-3,,-7.9,-13.3,,,,
170,PaM-3,,-8.1,-11.8,,,,
171,PaM-3,,-8.1,-13.4,,,,
172,PaM-3,,-7.5,-11.6,,,,
173,PaM-4,,-8,-11.9,,,,
174,PaM-4,,-8,-11.1,,,,
175,PaM-4,,-7.7,-11.9,,,,
176,PiVM-1,,-6.1,-11.1,,,,
177,PiVM-1,,-6.1,-11.9,,,,
178,PiVM-2,,-8.1,-11.2,,,,
179,PiVM-2,,-7.5,-10,,,,
180,PiVM-2,,-7.7,-11.2,,,,
181,MAD,60,-8,-8.3,0.67,0.015,,
182,MAD,70,-8.1,-8.2,0.67,0.015,,
183,MAD,90,-7.5,-8.4,0.66,0.015,,
184,MAD,135,-8.5,-7.7,0.68,0.015,,
185,MAD,25,-8.7,-6,0.69,0.015,,
186,MAD,70,-8.7,-6.5,0.69,0.015,,
187,MAD,75,-8.7,-6.3,0.71,0.015,,
188,MAD,92,-8.4,-6.9,0.71,0.015,,
189,HUACH,70,-6.4,-7.9,0.69,0.015,,
190,HUACH,70,-8.4,-9.7,0.7,0.015,,
191,HUACH,70,-8.5,-10.1,0.72,0.015,,
192,HUACH,70,-8.3,-10,0.71,0.015,,
193,HUACH,90,-6.9,-8.9,0.71,0.015,,
194,HUACH,90,-7.2,-8.8,0.71,0.015,,
195,HUACH,90,-7.2,-8.8,0.69,0.015,,
196,HUACH,90,-7.2,-8.8,0.73,0.015,,
197,HUACH,110,-7.8,-10.1,0.71,0.015,,
198,HUACH,110,-7.9,-8.6,0.72,0.015,,
199,HUACH,110,-7.9,-8.5,0.71,0.015,,
200,HUACH,130,-8.2,-8.9,0.72,0.015,,
201,HUACH,130,-8.5,-8.8,0.72,0.015,,
202,HUACH,130,-8.5,-8.8,0.72,0.015,,
203,HUACH,130,-7.7,-8.7,0.71,0.015,,
204,HUACH,150,-8.7,-7.1,0.67,0.015,,
205,HUACH,150,-8.6,-7.9,0.71,0.015,,
206,HUACH,150,-8.6,-7.9,0.74,0.015,,
207,HUACH,150,-8.4,-8.3,0.72,0.015,,
208,HUACH,150,-8.4,-8.4,0.71,0.015,,
209,CC1,75,-4.3,-16.2,0.63,0.015,,
210,CC1,120,-3.9,-14,0.71,0.015,,
211,CC1,120,-5.2,-11.1,0.73,0.015,,
212,CC1,45,-6.4,-11.4,0.7,0.015,,
